product,mass_kg,material_id,countryMaking,impact_ecs
jupe,0.28,ei-pet,CN,2164.294602415226
jean,1.4378252961555935,ei-pp,---,11515.828032973262
jean,0.7678399941896323,ei-pp,REE,5727.522737244946
jean,1.323989508354913,coton-rdpc,REE,10470.328812419188
maillot-de-bain,0.23,ei-viscose,RAS,1744.535920249562
calecon,0.08,ei-pet,RAS,759.8524340773184
maillot-de-bain,0.31,ei-pa,MA,2122.693219653008
jean,0.9804490407901588,elasthane,MA,9453.257995059446
manteau,3.95,ei-laine-nouvelle-filiere,VN,33314.187531083764
jean,0.5694757761348468,ei-chanvre,FR,4674.04975304075
maillot-de-bain,0.09,ei-acrylique,FR,612.6174042396345
maillot-de-bain,0.23,ei-laine-nouvelle-filiere,REE,1666.7772277922402
pull,1.02,ei-chanvre,MA,7189.402515542385
pull,1.48,ei-pp,RME,9532.69230651537
calecon,0.12,ei-pet-r,TR,1003.1084752745858
tshirt,0.34,ei-coton-organic,REE,2878.609837705701
chemise,0.1706578832073018,coton-rdpc,RLA,1379.58496320091
pantalon,1.25,ei-acrylique,RME,9977.724658331526
maillot-de-bain,0.22,coton-rdpc,BD,1554.2493798540677
chaussettes,0.01,ei-pet,CN,81.19817130844129
jupe,0.94,ei-jute-kenaf,IN,8796.877985676223
maillot-de-bain,0.11,ei-pet-r,TR,695.1961506937969
pull,0.22,ei-lin,REE,1475.4674709736478
slip,0.03,ei-coton-organic,MM,297.1656951358832
calecon,0.03,ei-pet,RME,288.6526484626349
chaussettes,0.06,ei-pet,FR,365.6635748549292
pantalon,1.35,ei-pp,REE,9435.51819706347
tshirt,0.39,ei-laine-par-defaut,---,5732.526399440863
pantalon,1.04,ei-chanvre,PK,8524.379850070998
calecon,0.18,ei-chanvre,PK,1674.7245380854426
pantalon,0.34,ei-coton,KH,4120.540836341264
jean,0.6597019237212619,ei-lin,RAS,5641.876712083995
tshirt,0.33,ei-jute-kenaf,RLA,3232.0893756638234
chemise,0.0815499609897918,coton-rdp,TR,628.1682684182847
chemise,0.4689899579587822,ei-pet,VN,3706.746999702359
jupe,0.19,ei-coton,PK,2125.9796232215926
chemise,0.1445447966553832,ei-pet,MA,1089.340170837295
jupe,0.32,ei-laine-par-defaut,BD,4563.565066268327
slip,0.13,ei-jute-kenaf,REE,1246.4765953825784
calecon,0.06,coton-rdp,KH,586.3505147255028
maillot-de-bain,0.31,ei-lin,RAS,2157.819031013154
chemise,0.2964255535386025,ei-viscose,VN,2563.335545932899
pull,1.27,ei-pa,MM,9727.712225289244
jupe,0.93,ei-chanvre,MM,7460.888866382678
pull,0.23,ei-pet,BD,1676.9589634074168
jupe,0.85,ei-pa,ROC,7310.301309551817
chaussettes,0.02,elasthane,---,181.1858480464399
tshirt,0.12,ei-pet,TR,911.2965030733062
tshirt,0.27,elasthane,FR,2429.3788613107736
jupe,0.67,ei-pp,TR,4479.654606426394
pull,0.79,ei-pp,---,5428.7221684217575
manteau,1.43,ei-coton,ROC,16875.479995358437
maillot-de-bain,0.19,ei-pp,REO,1152.269172128687
calecon,0.2,ei-pet,RAF,1778.1326460704115
calecon,0.19,coton-rdpc,RAS,1764.6180877139132
slip,0.14,ei-coton-organic,ROC,1447.3530234062991
pull,0.57,ei-acrylique,RLA,4401.083173343409
jupe,0.83,ei-pa,MA,6227.346460529499
pantalon,0.27,ei-pet-r,FR,1961.826158085223
maillot-de-bain,0.16,ei-jute-kenaf,MM,1376.6255658248576
tshirt,0.07,ei-viscose,RLA,636.3869337755177
jupe,0.19,coton-rdp,CN,1502.7786294612642
calecon,0.05,ei-lin,TR,442.1255089313656
manteau,2.59,ei-lin,BD,19116.77702832759
pantalon,1.26,ei-viscose,FR,10017.199591587578
chaussettes,0.09,ei-coton-organic,KH,696.8574962339223
jupe,0.95,coton-rdpc,---,7315.874748126354
jupe,0.63,coton-rdpc,RLA,4906.423331412798
chaussettes,0.18,ei-coton,RME,1640.86160268244
calecon,0.17,ei-pa,REE,1515.96302653172
pantalon,0.82,ei-acrylique,RLA,6951.598167268763
pantalon,0.71,ei-pp,RAS,5496.086715938716
chaussettes,0.13,ei-coton,RME,1188.1901435340235
chaussettes,0.01,ei-pet-r,PK,71.73703217661733
maillot-de-bain,0.27,ei-viscose,BD,2030.165598334136
manteau,1.2,ei-pa,RME,8879.73999980136
slip,0.04,ei-lin,KH,369.1030594123687
pull,0.68,ei-chanvre,RNA,5153.050739754808
maillot-de-bain,0.31,elasthane,CN,2649.424978744552
chemise,0.1884754834865707,ei-pet-r,FR,1325.356743822553
jupe,0.46,ei-pet,RLA,3515.345199866215
tshirt,0.41,elasthane,KH,4041.6798729469374
calecon,0.03,coton-rdp,RME,289.2170106310786
maillot-de-bain,0.26,ei-laine-par-defaut,---,3402.5058804381088
pull,1.07,ei-pet-r,RME,7022.225546744101
slip,0.09,ei-laine-par-defaut,REE,1318.922709583949
jean,0.6495335340452387,ei-viscose,MA,5625.024965968505
jean,0.4464899401240723,ei-laine-par-defaut,REO,6639.8722318945465
pull,1.42,coton-rdpc,RNA,10415.957003199594
chaussettes,0.01,ei-acrylique,REE,76.75344210234778
jean,1.2232854862890326,ei-pet-r,TN,9315.262062408625
slip,0.09,ei-pp,REE,682.794716398378
pull,0.97,ei-pet-r,TN,6250.652040875926
slip,0.11,coton-rdp,KH,955.2452449448816
manteau,1.91,elasthane,RAS,17453.3883161079
calecon,0.18,ei-pet-r,RLA,1610.2501569779945
manteau,2.66,ei-lin,PK,19133.85908528405
chemise,0.1392753685279348,coton-rdpc,TN,1054.2928501871768
calecon,0.04,elasthane,RLA,446.5047954216275
slip,0.06,ei-pa,REE,510.97260473902304
chaussettes,0.18,ei-acrylique,TN,1180.933562229009
tshirt,0.2,coton-rdp,CN,1640.0968606541312
jupe,0.14,ei-laine-par-defaut,RLA,2010.6006012673613
jean,0.5167942609102042,ei-pa,IN,4619.537629441317
jupe,0.1,ei-pa,TR,770.2029291788756
maillot-de-bain,0.12,ei-laine-nouvelle-filiere,MA,902.4029339125692
calecon,0.18,ei-acrylique,RLA,1727.9843056286174
tshirt,0.4,ei-coton,RAF,4560.738376647732
maillot-de-bain,0.29,ei-laine-nouvelle-filiere,TN,2106.2506608438707
tshirt,0.35,ei-coton,REO,3830.848565686842
slip,0.01,ei-laine-nouvelle-filiere,TN,107.27519012401592
manteau,0.91,coton-rdpc,KH,7061.6694921150265
chemise,0.3079229325587034,elasthane,RNA,2927.0136585755617
calecon,0.07,ei-laine-nouvelle-filiere,FR,664.4451982488804
tshirt,0.49,ei-laine-nouvelle-filiere,ROC,4695.544601620712
pull,1.3,ei-pet-r,IN,9043.3986217563
jean,0.5713779548061926,ei-pet,ROC,5201.458188869778
jupe,0.52,ei-pa,VN,4244.009253098585
maillot-de-bain,0.24,ei-coton-organic,RAF,1870.947393027636
chaussettes,0.12,ei-pa,REE,778.1079361139664
chaussettes,0.12,elasthane,TR,901.8434625976076
chaussettes,0.11,coton-rdpc,BD,736.3054604548491
chaussettes,0.16,coton-rdp,RAF,1018.5457965642796
pantalon,1.26,ei-chanvre,PK,10311.153120175324
calecon,0.08,ei-viscose,ROC,869.867519899638
chaussettes,0.12,ei-lin,PK,766.2378989704407
chaussettes,0.06,coton-rdpc,TR,364.0177183023901
tshirt,0.35,ei-pp,BD,2695.7423453028964
pantalon,0.64,ei-lin,PK,5033.609665778586
tshirt,0.42,ei-coton,---,4884.8153904703895
slip,0.13,ei-laine-nouvelle-filiere,KH,1249.9967076078945
manteau,1.76,ei-pa,RNA,13707.028505190752
