product,mass_kg,material_id,material_share,countryMaking,impact_ecs
calecon,0.03,ei-chanvre,1,REO,280.62349263431275
calecon,0.15,ei-chanvre,1,REO,1320.5699779054205
calecon,0.13,ei-chanvre,1,REO,1147.2746817921663
calecon,0.18,ei-coton,1,REO,2185.4593283505747
calecon,0.19,ei-coton,1,REO,2305.756360728841
calecon,0.09,ei-coton,1,REO,1103.0480998335554
calecon,0.14,ei-coton,1,REO,1704.402230281198
calecon,0.17,ei-coton,1,REO,2065.2059731202044
calecon,0.04,ei-coton,1,REO,501.6939693859124
calecon,0.08,ei-coton,1,REO,982.794744603185
calecon,0.09,ei-coton,1,REO,1103.0480998335554
calecon,0.08,ei-coton,1,REO,982.794744603185
calecon,0.1,ei-coton,1,REO,1223.3451322118212
calecon,0.09,ei-coton-organic,1,REO,873.7356001109076
calecon,0.19,ei-coton-organic,1,REO,1821.652194647696
calecon,0.02,ei-coton-organic,1,REO,210.22892565347271
calecon,0.07,ei-coton-organic,1,REO,684.1435457739708
calecon,0.12,ei-coton-organic,1,REO,1158.1018430423649
calecon,0.19,ei-coton-organic,1,REO,1821.652194647696
calecon,0.16,ei-coton-organic,1,REO,1537.2859517162383
calecon,0.11,ei-coton-organic,1,REO,1063.3276544478445
calecon,0.05,ei-coton-organic,1,REO,494.59516858493
calecon,0.15,ei-coton-organic,1,REO,1442.468085973822
calecon,0.06,elasthane,1,REO,621.6117906787136
calecon,0.1,elasthane,1,REO,1022.290855018763
calecon,0.11,elasthane,1,REO,1122.4387825298272
calecon,0.17,elasthane,1,REO,1723.413701892005
calecon,0.02,elasthane,1,REO,220.97640348656049
calecon,0.16,elasthane,1,REO,1623.265774380941
calecon,0.09,elasthane,1,REO,922.0992503598025
calecon,0.18,elasthane,1,REO,1823.5616294030688
calecon,0.17,elasthane,1,REO,1723.413701892005
calecon,0.07,elasthane,1,REO,721.759718189778
calecon,0.13,ei-acrylique,1,REO,1160.8504251716306
calecon,0.08,ei-acrylique,1,REO,722.3033908313713
calecon,0.04,ei-acrylique,1,REO,371.4482925000056
calecon,0.07,ei-acrylique,1,REO,634.567777674582
calecon,0.12,ei-acrylique,1,REO,1073.1148120148412
calecon,0.2,ei-acrylique,1,REO,1774.781331529677
calecon,0.13,ei-acrylique,1,REO,1160.8504251716306
calecon,0.19,ei-acrylique,1,REO,1687.089395520784
calecon,0.12,ei-acrylique,1,REO,1073.1148120148412
calecon,0.07,ei-acrylique,1,REO,634.567777674582
calecon,0.17,ei-jute-kenaf,1,REO,1742.0630299022584
calecon,0.16,ei-jute-kenaf,1,REO,1640.8180830964736
calecon,0.17,ei-jute-kenaf,1,REO,1742.0630299022584
calecon,0.02,ei-jute-kenaf,1,REO,223.1704420760021
calecon,0.04,ei-jute-kenaf,1,REO,425.6603356875722
calecon,0.07,ei-jute-kenaf,1,REO,729.4388532528236
calecon,0.14,ei-jute-kenaf,1,REO,1438.2845123370073
calecon,0.09,ei-jute-kenaf,1,REO,931.9724240122896
calecon,0.04,ei-jute-kenaf,1,REO,425.6603356875722
calecon,0.18,ei-jute-kenaf,1,REO,1843.3079767080435
calecon,0.08,ei-laine-par-defaut,1,REO,1228.9505156734433
calecon,0.08,ei-laine-par-defaut,1,REO,1228.9505156734433
calecon,0.07,ei-laine-par-defaut,1,REO,1077.884011911395
calecon,0.15,ei-laine-par-defaut,1,REO,2286.197656268302
calecon,0.15,ei-laine-par-defaut,1,REO,2286.197656268302
calecon,0.14,ei-laine-par-defaut,1,REO,2135.17482965415
calecon,0.15,ei-laine-par-defaut,1,REO,2286.197656268302
calecon,0.11,ei-laine-par-defaut,1,REO,1682.0626726637968
calecon,0.07,ei-laine-par-defaut,1,REO,1077.884011911395
calecon,0.16,ei-laine-par-defaut,1,REO,2437.2641600303505
calecon,0.12,ei-laine-nouvelle-filiere,1,REO,1135.67309371091
calecon,0.09,ei-laine-nouvelle-filiere,1,REO,856.914038112316
calecon,0.17,ei-laine-nouvelle-filiere,1,REO,1600.2860787578643
calecon,0.13,ei-laine-nouvelle-filiere,1,REO,1228.6218970090383
calecon,0.11,ei-laine-nouvelle-filiere,1,REO,1042.767967560677
calecon,0.19,ei-laine-nouvelle-filiere,1,REO,1786.1400082062255
calecon,0.03,ei-laine-nouvelle-filiere,1,REO,299.3959269151294
calecon,0.2,ei-laine-nouvelle-filiere,1,REO,1879.0451343564575
calecon,0.18,ei-laine-nouvelle-filiere,1,REO,1693.1912049080966
calecon,0.05,ei-laine-nouvelle-filiere,1,REO,485.2498563634903
calecon,0.06,ei-lin,1,REO,515.7446158852484
calecon,0.17,ei-lin,1,REO,1423.4567066438533
calecon,0.11,ei-lin,1,REO,928.348962075141
